,DateTime,Bit Box_GyroXmax(RPM),Bit Box_GyroXmed(RPM),Bit Box_Temperature(C),Bit Box_ShXpeak(g),Bit Box_ShXrms(g),Bit Box_ShXmax(g),Bit Box_ShYpeak(g),Bit Box_ShYrms(g),Bit Box_ShYmax(g),Bit Box_ShZpeak(g),Bit Box_ShZrms(g),Bit Box_ShZmax(g),Top Sub_GyroXmax(RPM),Top Sub_GyroXmed(RPM),Top Sub_GyroXmin(RPM),Top Sub_StickSlip(%),Top Sub_Temperature(C),Top Sub_ShXpeak(g),Top Sub_ShXrms(g),Top Sub_ShXmax(g),Top Sub_ShYpeak(g),Top Sub_ShYrms(g),Top Sub_ShYmax(g),Top Sub_ShZpeak(g),Top Sub_ShZrms(g),Top Sub_ShZmax(g),Surface_Hookload(klbs),Surface_Weight on Bit(klbs),Surface_Block Position(ft),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(kft-lbs),Surface_Pump Pressure(psi),Surface_Differential Pressure(psi),Surface_AD Differential Pressure Setpoint Value(psi),Surface_AD ROP Setpoint Value(ft/hr),Surface_AD WOB Setpoint Value(klbs),Surface_Flow In(GPM),Surface_Depth - Bit(ft),Surface_Total Depth(ft),Surface_ROP - Instant Depth / Hour(ft/hr),Surface_ROP Depth/Hour(ft/hr),Surface_MSE(au),Surface_MSE DownHole(au),Surface_MWD Gamma(API),Surface_MSE Surface(au),Surface_MSE Total(au),Surface_AD ROP Actual Value(ft/hr),Surface_GC_Activity_Code(Code),Surface_GC_OnBottom(bool),Surface_GC_IsStand(bool),Surface_GC_StandSteadyState(bool),Surface_GC_StandIndex(count),Surface_GC_StandIndex_OnBottom(count),Surface_GC_Rotating(bool),Surface_GC_Sliding(bool),Surface_GC_Rotary_Power(hp),Surface_GC_Hydraulic_Power(hp),Surface_GC_Linear_Power(hp),Surface_GC_Total_Power(hp),Surface_GC_Energy_per_Foot(kWh/ft),Surface_GC_Differential_Pressure(psi),Surface_GC_ROP(ft/hr),Augmented RPM(RPM)
35,2020/12/07 17:31:59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,174.51666,39.27314,5.98222,0.0703,0.0,7.23009,-1124.2708,528.0,3.0,3.8,0.0,7792.8354,8025.7793,,0.0,,,,,,5886.384,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,67.944305808,67.944305808,0.014790870823,,49.627826087,0.0
36,2020/12/07 17:32:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,180.4021,38.24963,5.03107,0.0,0.0,6.55579,-1124.2988,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,5343.1025,11.0,1.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,0.0,61.580395088,61.580395088,0.014405401156,,49.627826087,0.0
37,2020/12/07 17:32:01.000,,,,,,,,,,,,,,,,,,,,,,,,,,,42.73394,56.07157,4.39238,0.13068,0.0,4.98159,-1124.335,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,4740.428,11.0,1.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,0.0,75.751526043,75.751526043,0.021117418895,,49.627826087,0.0
38,2020/12/07 17:32:02.000,,,,,,,,,,,,,,,,,,,,,,,,,,,41.07066,83.194,4.07802,0.0703,0.0,6.30323,-1124.4075,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,3920.1545,11.0,1.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,0.0,69.495596221,69.495596221,0.03133214475,,49.627826087,0.0
39,2020/12/07 17:32:03.000,,,,,,,,,,,,,,,,,,,,,,,,,,,40.98536,94.49712,3.76583,0.1508,0.0,4.6849,-1124.4476,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,3702.199,11.0,1.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,0.0,69.167177268,69.167177268,0.03558907424,,49.627826087,0.0
40,2020/12/07 17:32:04.000,,,,,,,,,,,,,,,,,,,,,,,,,,,38.38383,122.16642,3.2564,0.0,0.0,5.49406,-1124.484,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,2957.5688,11.0,1.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,0.0,65.993432886,65.993432886,0.046009759778,,49.627826087,0.0
41,2020/12/07 17:32:05.000,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37812,128.84435,3.29554,0.05017,0.0,5.31997,-1124.5114,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,2273.1887,11.0,1.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,0.0,35.253308176,35.253308176,0.04852477131,,49.627826087,0.0
42,2020/12/07 17:32:06.000,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54425,140.28564,3.30577,0.29169,0.0,6.38169,-1124.5463,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,2004.1829,11.0,1.0,1.0,0.0,26.0,26.0,0.0,1.0,0.0,0.0,16.174478107,16.174478107,0.052833737755,,49.627826087,0.0
43,2020/12/07 17:32:07.000,,,,,,,,,,,,,,,,,,,,,,,,,,,41.07066,149.25456,4.12467,0.09042,0.0,5.80302,-1124.6119,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,818.239,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,49.627826087,0.0
44,2020/12/07 17:32:08.000,,,,,,,,,,,,,,,,,,,,,,,,,,,39.87651,156.49554,4.74775,0.13068,0.0,5.56027,-1124.6222,528.0,3.0,3.8,0.0,7793.7866,8025.7793,,0.0,,,,,,230.98976,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,49.627826087,0.0
