,DateTime,Bit Box_ShYpeak(g),Surface_Total Depth(ft),Surface_Weight on Bit(klbs),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(ft-lbs)
8972,2020/11/24 02:23:27.000,3.9465448009,5892.0117,4.08019,0.17093,0.0
8973,2020/11/24 02:23:28.000,4.4669462558,5892.0117,4.12618,0.03004,0.0
8974,2020/11/24 02:23:29.000,4.9873477106,5892.0117,3.93919,0.25144,0.0
8975,2020/11/24 02:23:30.000,5.5077491655,5892.0117,3.77218,0.0,0.0
8976,2020/11/24 02:23:31.000,6.0281506204,5892.0117,3.73777,0.17093,0.0
8977,2020/11/24 02:23:32.000,5.9575049761,5892.0117,3.77984,0.1508,0.0
8978,2020/11/24 02:23:33.000,5.8868593319,5892.0117,4.1095,0.09042,0.0
8979,2020/11/24 02:23:34.000,5.8162136876,5892.0117,4.3778,0.13068,0.0
8980,2020/11/24 02:23:35.000,5.7455680434,5892.0117,3.95595,0.0703,0.0
8981,2020/11/24 02:23:36.000,5.6749223991,5892.0117,4.29483,0.09042,0.0
8982,2020/11/24 02:23:37.000,5.0968442931,5892.0117,4.35056,0.11055,0.0
8983,2020/11/24 02:23:38.000,4.5187661871,5892.0117,4.68116,0.03004,0.0
8984,2020/11/24 02:23:39.000,3.9406880811,5892.0117,4.32755,0.43257,0.0
8985,2020/11/24 02:23:40.000,3.3626099751,5892.0117,3.92746,0.05017,0.0
8986,2020/11/24 02:23:41.000,2.7845318691,5892.0117,4.05493,0.17093,0.0
8987,2020/11/24 02:23:42.000,2.9642924328,5892.0117,4.27483,0.17093,0.0
8988,2020/11/24 02:23:43.000,3.1440529965,5892.0117,4.15578,0.19106,0.0
8989,2020/11/24 02:23:44.000,3.3238135603,5892.0117,3.77964,0.1508,0.0
8990,2020/11/24 02:23:45.000,3.503574124,5892.0117,4.02295,0.17093,0.0
8991,2020/11/24 02:23:46.000,3.6833346877,5892.0117,3.91124,0.09042,0.0
8992,2020/11/24 02:23:47.000,3.7810633072,5892.0117,3.63072,0.17093,0.0
8993,2020/11/24 02:23:48.000,3.8787919267,5892.0117,3.34777,0.13068,0.0
8994,2020/11/24 02:23:49.000,3.9765205463,5892.0117,3.57842,0.0703,0.0
8995,2020/11/24 02:23:50.000,4.0742491658,5892.0117,3.87388,0.17093,0.0
8996,2020/11/24 02:23:51.000,4.1719777853,5892.0117,3.93148,0.25144,0.0
8997,2020/11/24 02:23:52.000,4.0034581261,5892.0117,4.05803,0.1508,0.0
8998,2020/11/24 02:23:53.000,3.8349384669,5892.0117,3.5853,0.13068,0.0
8999,2020/11/24 02:23:54.000,3.6664188076,5892.0117,3.55759,0.17093,0.0
9000,2020/11/24 02:23:55.000,3.4978991484,5892.0117,3.60582,0.11055,0.0
9001,2020/11/24 02:23:56.000,3.3293794892,5892.0117,3.94827,0.19106,0.0
9002,2020/11/24 02:23:57.000,3.4480072245,5892.0117,3.64507,0.19106,0.0
9003,2020/11/24 02:23:58.000,3.5666349598,5892.0117,3.64296,0.09042,0.0
9004,2020/11/24 02:23:59.000,3.685262695,5892.0117,3.62273,0.09042,0.0
9005,2020/11/24 02:24:00.000,3.8038904303,5892.0117,3.59336,0.13068,0.0
